sample_id,timestamp_s,spindle_speed_rpm,feed_rate_mm_min,depth_of_cut_mm,cutting_speed_m_min,material_hardness_HRC,spindle_motor_current_A,spindle_torque_Nm,spindle_temp_C,coolant_temp_C,ambient_temp_C,vibration_x_g,vibration_y_g,vibration_z_g,surface_roughness_Ra,dimensional_error_mm,tool_wear_mm,cycle_time_s,tool_condition,fault_label
1,12.5,1319,183.8,1.61,0.33,47.9,13.66,18.83,60.3,28.9,29.7,0.1461,0.1121,0.0437,0.727,0.0135,0.0,39.1,Good,0
2,20.5,1280,136.4,1.38,0.32,38.9,12.61,18.24,55.6,22.8,25.8,0.1342,0.155,0.1099,1.193,0.0148,0.0176,38.6,Good,0
3,34.6,993,158.1,1.78,0.25,36.6,13.39,17.18,61.1,28.4,28.5,0.2466,0.0976,0.0758,1.299,0.0088,0.0,40.8,Good,0
4,47.7,1276,205.1,2.07,0.32,34.2,13.65,17.79,62.3,29.2,31.6,0.211,0.0956,0.0731,1.067,0.0102,0.0,39.5,Good,0
5,62.1,1086,186.0,1.51,0.27,45.3,14.86,18.33,59.3,28.9,27.3,0.1183,0.0691,0.0804,1.53,0.0133,0.0,42.5,Good,0
6,72.7,1384,179.1,2.28,0.35,32.1,14.74,18.6,62.6,23.2,28.4,0.2078,0.098,0.0712,1.327,0.0109,0.0327,42.5,Good,0
7,87.1,1287,161.6,1.15,0.32,26.6,13.08,16.44,60.7,31.7,25.2,0.201,0.0901,0.1475,1.609,0.0109,0.0205,44.5,Good,0
8,101.7,1349,197.7,2.11,0.34,40.7,15.01,18.1,61.4,24.9,26.2,0.1931,0.153,0.1334,1.076,0.0092,0.0023,41.9,Good,0
9,112.8,1124,178.3,1.56,0.28,42.2,12.6,20.06,56.2,29.3,27.6,0.1631,0.0957,0.1373,1.105,0.0076,0.0,47.2,Good,0
10,124.8,941,189.0,1.59,0.24,30.1,11.37,17.77,58.6,26.5,28.0,0.2044,0.0969,0.102,1.409,0.01,0.019,45.3,Good,0
11,135.8,1180,202.4,1.88,0.3,31.0,12.4,21.16,57.1,29.2,29.0,0.67,0.5581,0.4106,4.226,0.1071,0.018,43.3,Good,2
12,150.7,1175,232.3,1.1,0.3,37.3,13.25,19.43,58.9,24.8,26.1,0.242,0.1386,0.0313,1.178,0.0156,0.0652,42.8,Good,0
13,159.8,1259,177.0,1.71,0.32,44.9,14.22,18.0,57.9,25.9,25.8,0.211,0.1092,0.0853,1.037,0.0102,0.0,39.8,Good,0
14,170.5,1140,157.7,1.23,0.29,47.2,13.07,18.38,66.5,31.0,24.2,0.16,0.1371,0.1135,1.388,0.0142,0.0222,38.3,Good,0
15,182.8,1418,176.5,2.24,0.36,35.7,14.19,17.35,59.9,25.5,25.1,0.2004,0.1743,0.087,1.551,0.0118,0.0,45.5,Good,0
16,197.2,1237,169.1,1.21,0.31,38.0,12.32,17.63,60.1,31.7,28.9,0.2317,0.0915,0.1101,1.32,0.0115,0.037,39.1,Good,0
17,206.2,1290,198.5,2.07,0.32,26.5,14.09,18.04,58.1,27.2,26.2,0.2704,0.0859,0.1441,0.88,0.0185,0.0302,41.6,Good,0
18,220.4,1442,187.6,1.04,0.36,51.1,13.48,20.5,56.5,28.6,30.6,0.1387,0.1284,0.0961,0.775,0.0113,0.0159,40.2,Good,0
19,228.5,1247,205.1,2.19,0.31,20,13.0,18.72,65.3,30.2,31.6,0.1777,0.1391,0.0456,1.552,0.0,0.0,43.9,Good,0
20,238.7,1059,157.8,1.11,0.27,41.9,12.94,19.73,54.8,27.5,27.6,0.5496,0.3124,0.2353,6.256,0.049,0.0024,47.4,Good,2
21,251.8,1160,204.5,1.16,0.29,39.4,11.67,17.52,58.0,27.9,27.0,0.1678,0.1613,0.0517,1.327,0.0053,0.0005,39.9,Good,0
22,263.0,1103,187.4,0.65,0.28,37.9,12.05,18.31,54.9,27.3,25.7,0.1835,0.1284,0.0911,1.075,0.0073,0.0072,45.5,Good,0
23,277.0,1339,193.7,1.32,0.34,31.2,13.39,17.39,58.9,26.9,27.6,0.2383,0.1074,0.1116,0.924,0.0183,0.0,42.7,Good,0
24,290.9,940,194.6,0.91,0.24,20,11.19,16.62,55.5,30.6,25.0,0.1418,0.1249,0.0907,0.855,0.0089,0.0,46.3,Good,0
25,304.3,991,174.4,1.48,0.25,38.2,12.78,17.41,54.6,29.9,27.8,0.13,0.109,0.0984,1.396,0.0124,0.0007,45.0,Good,0
26,318.6,1000,156.7,1.92,0.25,24.3,11.33,15.2,61.4,25.4,26.2,0.1865,0.1477,0.0833,1.227,0.0176,0.0028,42.3,Good,0
27,328.9,1134,152.4,1.73,0.29,42.7,13.62,19.86,58.3,27.4,27.2,0.5425,0.4865,0.2325,5.802,0.0757,0.024,46.8,Good,2
28,339.6,1204,123.3,1.5,0.3,38.3,12.25,16.6,55.7,29.3,26.6,0.2085,0.1229,0.1213,1.326,0.0064,0.0294,45.6,Good,0
29,351.6,1247,225.6,1.53,0.31,30.2,13.09,18.44,60.4,25.8,22.5,0.1169,0.1583,0.1308,0.941,0.0123,0.0,44.1,Good,0
30,363.9,1407,210.8,1.82,0.35,26.2,13.96,16.31,60.5,30.2,24.0,0.2803,0.1827,0.0529,1.835,0.008,0.0467,38.4,Good,0
31,376.9,976,199.2,1.81,0.25,33.6,12.02,18.99,54.4,31.5,29.1,0.1822,0.1647,0.0675,0.952,0.0102,0.0141,40.3,Good,0
32,385.1,1256,164.7,1.67,0.32,48.9,13.52,20.41,62.5,24.6,27.2,0.1537,0.0663,0.0368,1.634,0.0221,0.0,42.3,Good,0
33,393.7,1241,225.3,1.32,0.31,44.9,14.02,18.85,62.2,28.9,27.9,0.2253,0.1538,0.0915,1.251,0.0062,0.0,40.1,Good,0
34,403.3,960,184.8,1.98,0.24,33.6,12.6,17.04,58.3,30.5,26.6,0.1716,0.1003,0.1136,1.324,0.0106,0.0039,39.5,Good,0
35,417.4,1049,164.8,1.26,0.26,36.9,12.66,17.41,58.5,29.5,29.1,0.127,0.2405,0.1275,1.542,0.011,0.0511,46.2,Good,0
36,429.6,1227,159.2,1.07,0.31,33.8,12.38,17.03,52.6,28.4,28.3,0.1644,0.1002,0.0955,1.375,0.005,0.0,43.1,Good,0
37,437.6,1008,192.3,1.43,0.25,40.6,12.02,17.27,55.9,29.9,26.1,0.1106,0.104,0.1371,0.825,0.0178,0.0,38.9,Good,0
38,446.1,1265,202.2,1.5,0.32,24.6,12.89,16.42,60.1,30.1,27.5,0.1633,0.1473,0.1544,1.337,0.0157,0.004,46.2,Good,0
39,460.0,872,146.5,2.1,0.22,35.0,11.22,18.27,62.1,26.5,25.3,0.2188,0.1401,0.0677,1.289,0.0038,0.0059,46.0,Good,0
40,474.0,1089,220.5,1.27,0.27,53.7,14.24,18.78,61.4,30.9,26.8,0.1302,0.1091,0.1009,0.959,0.0049,0.0167,44.9,Good,0
41,487.3,1021,144.1,1.65,0.26,44.7,12.53,18.48,60.8,25.6,26.2,0.3099,0.1889,0.1185,1.161,0.0181,0.0263,40.6,Good,0
42,496.1,1287,149.4,1.4,0.32,25.7,12.99,17.51,58.5,30.9,24.3,0.1655,0.1897,0.0298,1.674,0.0054,0.0016,45.6,Good,0
43,507.7,1252,157.9,1.34,0.31,45.1,13.87,17.39,59.1,27.4,28.2,0.1589,0.0707,0.0953,1.29,0.008,0.0305,47.6,Good,0
44,516.0,1192,133.1,1.65,0.3,27.7,13.18,14.95,56.5,29.5,25.5,0.1255,0.1128,0.0847,0.803,0.0157,0.0,39.0,Good,0
45,528.5,1295,207.9,1.86,0.33,33.6,13.01,17.3,64.5,28.2,22.9,0.1983,0.1234,0.0441,0.861,0.0131,0.0,37.0,Good,0
46,543.5,1197,148.0,1.96,0.3,41.6,13.6,18.06,62.6,29.5,29.0,0.0988,0.0914,0.0959,1.075,0.0197,0.023,43.4,Good,0
47,557.6,1119,164.8,1.69,0.28,32.7,12.03,17.52,65.9,32.3,27.7,0.1192,0.0901,0.0698,1.856,0.1417,0.0,43.0,Good,3
48,571.5,1246,208.1,1.21,0.31,35.6,12.96,17.63,63.8,26.7,24.0,0.2451,0.1366,0.025,1.057,0.0173,0.0,42.1,Good,0
49,581.5,1262,140.9,1.16,0.32,44.1,12.47,19.3,57.6,27.2,29.0,0.1088,0.0889,0.1112,0.941,0.0137,0.0,43.3,Good,0
50,594.8,1236,194.3,0.47,0.31,29.8,12.08,17.34,55.3,27.5,27.8,0.2068,0.1149,0.1482,1.093,0.0126,0.0,40.8,Good,0
51,607.8,1589,170.1,1.63,0.4,27.8,13.4,15.35,58.5,28.9,26.6,0.1811,0.129,0.1188,1.188,0.007,0.0096,39.6,Good,0
52,622.3,1210,190.7,1.89,0.3,20,13.74,18.18,63.4,29.4,28.7,0.1405,0.0621,0.1195,1.449,0.0082,0.0023,41.0,Good,0
53,635.5,1288,205.6,1.88,0.32,40.4,14.71,20.77,59.1,27.0,24.7,0.7934,0.4017,0.2604,6.074,0.034,0.0,43.2,Good,2
54,644.3,1295,153.0,1.2,0.33,25.2,13.67,17.89,62.3,28.4,28.3,0.2105,0.0939,0.1287,1.188,0.0148,0.0059,47.2,Good,0
55,652.3,1253,167.0,1.71,0.31,39.4,13.57,19.67,61.7,31.1,28.1,0.3443,0.3822,0.1348,6.047,0.0837,0.0229,43.1,Good,2
56,663.9,1338,202.5,1.61,0.34,34.2,13.45,16.84,60.8,27.1,24.9,0.1965,0.1116,0.1259,0.763,0.0126,0.018,44.3,Good,0
57,672.4,1167,222.0,1.16,0.29,32.9,13.34,18.52,56.2,28.4,23.8,0.1919,0.1628,0.0937,1.293,0.018,0.0344,45.2,Good,0
58,683.6,1142,186.8,0.97,0.29,40.3,12.49,19.35,62.4,29.0,24.6,0.125,0.0934,0.0826,1.308,0.0112,0.0019,43.4,Good,0
59,694.0,1073,136.9,1.93,0.27,25.6,13.6,16.7,60.7,29.1,25.4,0.1852,0.0679,0.1104,1.243,0.0135,0.0367,37.1,Good,0
